v0,L_int,width,label
135553857.21227413,0.4679259562709465,0.21448140900195692,"$0.900\,v_g$"
135553857.21227413,0.5282125499414373,0.18630136986301374,"$0.900\,v_g$"
135553857.21227413,0.5962663412372855,0.1628180039138943,"$0.900\,v_g$"
135553857.21227413,0.6730880395248408,0.14246575342465753,"$0.900\,v_g$"
135553857.21227413,0.7598072834554019,0.1252446183953033,"$0.900\,v_g$"
135553857.21227413,0.8576992519424668,0.10958904109589042,"$0.900\,v_g$"
135553857.21227413,0.9682034152622692,0.09706457925636014,"$0.900\,v_g$"
135553857.21227413,1.0929447020065755,0.08454011741682978,"$0.900\,v_g$"
135553857.21227413,1.2337573931410533,0.07358121330724071,"$0.900\,v_g$"
135553857.21227413,1.3927120945237448,0.06575342465753424,"$0.900\,v_g$"
135553857.21227413,1.5721461845059512,0.05792563600782776,"$0.900\,v_g$"
135553857.21227413,1.7746981843378264,0.05166340508806259,"$0.900\,v_g$"
135553857.21227413,2.0033465567845576,0.045401174168297406,"$0.900\,v_g$"
135553857.21227413,2.2614535034744607,0.04070450097847352,"$0.900\,v_g$"
135553857.21227413,2.5528144050050643,0.034442270058708487,"$0.900\,v_g$"
135553857.21227413,2.8817136308082207,0.0313111545988259,"$0.900\,v_g$"
135553857.21227413,3.252987539440582,0.026614481409002015,"$0.900\,v_g$"
135553857.21227413,3.6720955956986705,0.023483365949119425,"$0.900\,v_g$"
135553857.21227413,4.14520065031312,0.020352250489236834,"$0.900\,v_g$"
135553857.21227413,4.679259562709465,0.01878669275929554,"$0.900\,v_g$"
143084627.0574005,0.4679259562709465,0.28023483365949126,"$0.950\,v_g$"
143084627.0574005,0.5282125499414373,0.23953033268101764,"$0.950\,v_g$"
143084627.0574005,0.5962663412372855,0.20508806262230928,"$0.950\,v_g$"
143084627.0574005,0.6730880395248408,0.17847358121330725,"$0.950\,v_g$"
143084627.0574005,0.7598072834554019,0.1565557729941292,"$0.950\,v_g$"
143084627.0574005,0.8576992519424668,0.13620352250489237,"$0.950\,v_g$"
143084627.0574005,0.9682034152622692,0.12054794520547948,"$0.950\,v_g$"
143084627.0574005,1.0929447020065755,0.10489236790606654,"$0.950\,v_g$"
143084627.0574005,1.2337573931410533,0.09236790606653625,"$0.950\,v_g$"
143084627.0574005,1.3927120945237448,0.08140900195694718,"$0.950\,v_g$"
143084627.0574005,1.5721461845059512,0.07201565557729941,"$0.950\,v_g$"
143084627.0574005,1.7746981843378264,0.06262230919765165,"$0.950\,v_g$"
143084627.0574005,2.0033465567845576,0.054794520547945175,"$0.950\,v_g$"
143084627.0574005,2.2614535034744607,0.04853228962817999,"$0.950\,v_g$"
143084627.0574005,2.5528144050050643,0.04383561643835611,"$0.950\,v_g$"
143084627.0574005,2.8817136308082207,0.03757338551859093,"$0.950\,v_g$"
143084627.0574005,3.252987539440582,0.034442270058708487,"$0.950\,v_g$"
143084627.0574005,3.6720955956986705,0.029745596868884606,"$0.950\,v_g$"
143084627.0574005,4.14520065031312,0.026614481409002015,"$0.950\,v_g$"
143084627.0574005,4.679259562709465,0.023483365949119425,"$0.950\,v_g$"
150615396.90252683,0.4679259562709465,0.3663405088062623,$v_g$
150615396.90252683,0.5282125499414373,0.31154598825831703,$v_g$
150615396.90252683,0.5962663412372855,0.2661448140900196,$v_g$
150615396.90252683,0.6730880395248408,0.2270058708414873,$v_g$
150615396.90252683,0.7598072834554019,0.1972602739726028,$v_g$
150615396.90252683,0.8576992519424668,0.17064579256360077,$v_g$
150615396.90252683,0.9682034152622692,0.14872798434442275,$v_g$
150615396.90252683,1.0929447020065755,0.12994129158512718,$v_g$
150615396.90252683,1.2337573931410533,0.11428571428571431,$v_g$
150615396.90252683,1.3927120945237448,0.10019569471624265,$v_g$
150615396.90252683,1.5721461845059512,0.08923679060665367,$v_g$
150615396.90252683,1.7746981843378264,0.0782778864970646,$v_g$
150615396.90252683,2.0033465567845576,0.06888454011741683,$v_g$
150615396.90252683,2.2614535034744607,0.061056751467710356,$v_g$
150615396.90252683,2.5528144050050643,0.054794520547945175,$v_g$
150615396.90252683,2.8817136308082207,0.046966731898238696,$v_g$
150615396.90252683,3.252987539440582,0.04070450097847352,$v_g$
150615396.90252683,3.6720955956986705,0.03757338551859093,$v_g$
150615396.90252683,4.14520065031312,0.0313111545988259,$v_g$
150615396.90252683,4.679259562709465,0.02818003913894331,$v_g$
158146166.7476532,0.4679259562709465,0.45088062622309205,"$1.050\,v_g$"
158146166.7476532,0.5282125499414373,0.40078277886497077,"$1.050\,v_g$"
158146166.7476532,0.5962663412372855,0.3459882583170255,"$1.050\,v_g$"
158146166.7476532,0.6730880395248408,0.29432485322896285,"$1.050\,v_g$"
158146166.7476532,0.7598072834554019,0.2504892367906067,"$1.050\,v_g$"
158146166.7476532,0.8576992519424668,0.21604696673189822,"$1.050\,v_g$"
158146166.7476532,0.9682034152622692,0.18630136986301374,"$1.050\,v_g$"
158146166.7476532,1.0929447020065755,0.1628180039138943,"$1.050\,v_g$"
158146166.7476532,1.2337573931410533,0.14246575342465753,"$1.050\,v_g$"
158146166.7476532,1.3927120945237448,0.1252446183953033,"$1.050\,v_g$"
158146166.7476532,1.5721461845059512,0.10958904109589042,"$1.050\,v_g$"
158146166.7476532,1.7746981843378264,0.09706457925636014,"$1.050\,v_g$"
158146166.7476532,2.0033465567845576,0.08454011741682978,"$1.050\,v_g$"
158146166.7476532,2.2614535034744607,0.07358121330724071,"$1.050\,v_g$"
158146166.7476532,2.5528144050050643,0.06575342465753424,"$1.050\,v_g$"
158146166.7476532,2.8817136308082207,0.05792563600782776,"$1.050\,v_g$"
158146166.7476532,3.252987539440582,0.05166340508806259,"$1.050\,v_g$"
158146166.7476532,3.6720955956986705,0.045401174168297406,"$1.050\,v_g$"
158146166.7476532,4.14520065031312,0.04070450097847352,"$1.050\,v_g$"
158146166.7476532,4.679259562709465,0.034442270058708487,"$1.050\,v_g$"
165676936.59277952,0.4679259562709465,0.515068493150685,"$1.100\,v_g$"
165676936.59277952,0.5282125499414373,0.4790606653620353,"$1.100\,v_g$"
165676936.59277952,0.5962663412372855,0.4336594911937378,"$1.100\,v_g$"
165676936.59277952,0.6730880395248408,0.38043052837573393,"$1.100\,v_g$"
165676936.59277952,0.7598072834554019,0.3256360078277887,"$1.100\,v_g$"
165676936.59277952,0.8576992519424668,0.27553816046966734,"$1.100\,v_g$"
165676936.59277952,0.9682034152622692,0.23796477495107635,"$1.100\,v_g$"
165676936.59277952,1.0929447020065755,0.20352250489236798,"$1.100\,v_g$"
165676936.59277952,1.2337573931410533,0.17690802348336596,"$1.100\,v_g$"
165676936.59277952,1.3927120945237448,0.1534246575342466,"$1.100\,v_g$"
165676936.59277952,1.5721461845059512,0.13463796477495107,"$1.100\,v_g$"
165676936.59277952,1.7746981843378264,0.1189823874755382,"$1.100\,v_g$"
165676936.59277952,2.0033465567845576,0.10489236790606654,"$1.100\,v_g$"
165676936.59277952,2.2614535034744607,0.09236790606653625,"$1.100\,v_g$"
165676936.59277952,2.5528144050050643,0.08140900195694718,"$1.100\,v_g$"
165676936.59277952,2.8817136308082207,0.07045009784735813,"$1.100\,v_g$"
165676936.59277952,3.252987539440582,0.06262230919765165,"$1.100\,v_g$"
165676936.59277952,3.6720955956986705,0.054794520547945175,"$1.100\,v_g$"
165676936.59277952,4.14520065031312,0.04853228962817999,"$1.100\,v_g$"
165676936.59277952,4.679259562709465,0.04383561643835611,"$1.100\,v_g$"
